trial_id,U_exp,K_exp,D_exp,base_level_fall,divide_migration_distance,relief_at_steady_state,time_back_to_steady_state
2317,-4.0029296875,-5.7236328125,-1.7900390625,1.43017578125,0.0,586.076523096,7856000
2318,-4.0029296875,-6.5693359375,-2.0341796875,1.43017578125,0.0,3724.01991612,40768000
2319,-4.0029296875,-6.5693359375,-1.7900390625,1.38623046875,0.0,3636.52503222,40306000
2320,-4.0029296875,-6.5693359375,-1.7900390625,1.43017578125,0.0,3636.52503222,40306000
2321,-4.7705078125,-6.6611328125,-1.8466796875,-0.39501953125,0.0,768.2430291610001,49462000
2322,-3.9404296875,-6.6611328125,-1.8466796875,-0.39501953125,0.0,5129.04769438,48966000
2323,-4.7705078125,-5.0068359375,-1.8466796875,-0.39501953125,100.0,14.3874670521,14055000
2324,-4.7705078125,-6.6611328125,-1.4775390625,-0.39501953125,0.0,652.6068529940001,42493000
2325,-4.7705078125,-6.6611328125,-1.8466796875,-0.16357421875,0.0,768.2430291610001,49462000
2326,-4.7705078125,-5.0068359375,-1.4775390625,-0.16357421875,500.0,14.173825609300001,11429000
2327,-3.9404296875,-6.6611328125,-1.4775390625,-0.16357421875,0.0,4264.70384617,41246000
2328,-3.9404296875,-5.0068359375,-1.8466796875,-0.16357421875,0.0,98.2510203423,4357000
2329,-3.9404296875,-5.0068359375,-1.4775390625,-0.39501953125,0.0,90.33137528290001,3873000
2330,-3.9404296875,-5.0068359375,-1.4775390625,-0.16357421875,0.0,90.33137528290001,3873000
2331,-3.7705078125,-5.6611328125,-2.8466796875,1.10498046875,0.0,901.891931398,7285000
2332,-4.9404296875,-5.6611328125,-2.8466796875,1.10498046875,0.0,44.234424988,13851000
2333,-3.7705078125,-6.0068359375,-2.8466796875,1.10498046875,0.0,2126.11137299,14589000
2334,-3.7705078125,-5.6611328125,-2.4775390625,1.10498046875,0.0,875.7058957410001,7141000
2335,-3.7705078125,-5.6611328125,-2.8466796875,1.33642578125,0.0,901.891931398,7285000
